,attraction_name,category,rating,reviews,categories,address,city
195,Des Moines' Downtown Farmers' Market,Farmers' market,4.7,3035,"Farmers' market, Tourist attraction","Des Moines' Downtown Farmers' Market, 300 Court Ave, Des Moines, IA 50309",Des-moines
196,Raccoon River Park,Park,4.7,2304,"Park, Tourist attraction","Raccoon River Park, 2500 Grand Ave, West Des Moines, IA 50265",Des-moines
197,Principal Park,Stadium,4.6,2278,"Stadium, Baseball field, Club","Principal Park, 1 Line Dr, Des Moines, IA 50309",Des-moines
198,Gray's Lake Park,Park,4.7,2089,"Park, Tourist attraction","Gray's Lake Park, 2101 Fleur Dr, Des Moines, IA 50315",Des-moines
199,Des Moines Water Works Park,Park,4.5,1431,"Park, Tourist attraction","Des Moines Water Works Park, 2201 George Flagg Pkwy, Des Moines, IA 50321",Des-moines
200,Iowa State Capitol,Historical landmark,4.8,1374,"Historical landmark, State government office, Tourist attraction","Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319",Des-moines
201,Union Park,Park,4.4,1104,"Park, Tourist attraction","Union Park, 725 Thompson Ave, Des Moines, IA 50313",Des-moines
202,Ewing Park,Park,4.6,780,"Park, Tourist attraction","Ewing Park, 5300 Indianola Ave, Des Moines, IA 50320",Des-moines
203,Walnut Woods State Park,State park,4.6,661,"State park, Park, Tourist attraction","Walnut Woods State Park, 3155 Walnut Woods Dr, West Des Moines, IA 50265",Des-moines
204,Cowles Commons,Park,4.5,632,"Park, Arts organization, City park, Sculpture, Tourist attraction","Cowles Commons, 221 Walnut St, Des Moines, IA 50309",Des-moines
205,Science Center of Iowa,Science museum,4.5,576,"Science museum, Event venue, Preschool, Tourist attraction","Science Center of Iowa, 401 W Martin Luther King Jr Pkwy, Des Moines, IA 50309",Des-moines
206,Copper Creek Lake Park,Park,4.7,575,"Park, Tourist attraction","Copper Creek Lake Park, 4390 E University Ave, Pleasant Hill, IA 50327",Des-moines
207,Robert D. Ray Asian Garden,Garden,4.5,570,"Garden, Tourist attraction","Robert D. Ray Asian Garden, Robert D. Ray Dr, Des Moines, IA 50309",Des-moines
208,Birdland Park,Park,4.4,543,"Park, Tourist attraction","Birdland Park, 2100 Saylor Rd, Des Moines, IA 50313",Des-moines
209,MacRae Park,Park,4.4,526,"Park, Tourist attraction","MacRae Park, 1021 Davis Ave, Des Moines, IA 50315",Des-moines
210,Fort Des Moines Park,Park,4.6,504,"Park, Tourist attraction","Fort Des Moines Park, 7200 SE 5th St, Des Moines, IA 50315",Des-moines
211,Brown's Woods,Park,4.7,468,"Park, Tourist attraction","Brown's Woods, 465 Brown's Woods Dr, West Des Moines, IA 50265",Des-moines
212,Salisbury House & Gardens,Museum,4.7,443,"Museum, Event venue, Tourist attraction","Salisbury House & Gardens, 4025 Tonawanda Dr, Des Moines, IA 50312",Des-moines
213,Des Moines Art Center,Art center,4.6,417,"Art center, Art gallery, Art museum, Art school, Arts organization, Gift shop, Tourist attraction","Des Moines Art Center, 4700 Grand Ave, Des Moines, IA 50312",Des-moines
214,Ashby Park,City park,4.6,389,"City park, Tourist attraction","Ashby Park, 3200 38th St, Des Moines, IA 50310",Des-moines
