,attraction_name,category,rating,reviews,categories,address,city
6175,asyb aby.,Tourist attraction,,,Tourist attraction,"asyb aby., RCJR+3Q, Solulan, Hamadan Province, Iran",Hamedan
6176,ql`h ssny,Tourist attraction,,,Tourist attraction,"ql`h ssny, VG47+JX, Gara Choqa, Hamadan Province, Iran",Hamedan
6177,Kola'Qazi Peak,Tourist attraction,,,Tourist attraction,"Kola'Qazi Peak, JG6X+8PH, Arzan Fud, Hamadan Province, Iran",Hamedan
6178,tph z`frny,Tourist attraction,,,Tourist attraction,"tph z`frny, V84R+XQQ, Robat-e Zafarani, Hamadan Province, Iran",Hamedan
6179,Meyvand Hill,Tourist attraction,,,Tourist attraction,"Meyvand Hill, G837+28R, Farasfaj, Hamadan Province, Iran",Hamedan
6180,mjtm` khdmt rfhy lms,Tourist attraction,,,Tourist attraction,"Hamadan Province, Hamedan, Sardar Hosein Hamedani Blvd, RGWF+HP8 mjtm` khdmt rfhy lms, Iran",Hamedan
6181,chshmh w qnt mhdyh,Tourist attraction,,,Tourist attraction,"chshmh w qnt mhdyh, RC8F+58, Solulan, Hamadan Province, Iran",Hamedan
6182,drh lnh,Tourist attraction,,,Tourist attraction,"Heydareh Qazi Khan, rbT z`frny, stn hmdn,, R9J2+9WH drh lnh, Iran",Hamedan
6183,bnfsh drh,Tourist attraction,,,Tourist attraction,"bnfsh drh, JF3M+2R, Serkan, Hamadan Province, Iran",Hamedan
6184,khnh trykhy,Historical landmark,,,Historical landmark,"Hamadan Province, Hamedan, mnTqh dw shhrdry hmdn, hmdn,, QGR8+X8F khnh trykhy, Iran",Hamedan
6185,Hmm qdymy mzjrd,Tourist attraction,,,Tourist attraction,"Hmm qdymy mzjrd, WGPJ+HXQ, Amzajerd, Hamadan Province, Iran",Hamedan
6186,stkhr bilh,Tourist attraction,,,Tourist attraction,"stkhr bilh, RC6J+67, Solulan, Hamadan Province, Iran",Hamedan
6187,artymn rwd,Tourist attraction,,,Tourist attraction,"artymn rwd, HC9J+5W, Tuyserkan, Hamadan Province, Iran",Hamedan
6188,chshmh whnn,Tourist attraction,,,Tourist attraction,"chshmh whnn, Q7QQ+96, Vahnan, Hamadan Province, Iran",Hamedan
6189,chshmhy grdw lynh,Tourist attraction,,,Tourist attraction,"chshmhy grdw lynh, JF5C+VCG, Tuyserkan, Iran",Hamedan
6190,m`dn sng lshh jdh,Tourist attraction,,,Tourist attraction,"Tarkhinabad, Asadabad - Dash Bolagh Rd, R447+FXM m`dn sng lshh jdh, Iran",Hamedan
6191,gardnh drh `uthmn,Tourist attraction,,,Tourist attraction,"gardnh drh `uthmn, C7WW+8H, Bargecheh, Hamadan Province, Iran",Hamedan
6192,khmp grdshgry artymn,Tourist attraction,,,Tourist attraction,"khmp grdshgry artymn, HCHP+35Q, Tuyserkan, Iran",Hamedan
6193,sd khkhy srwn,Tourist attraction,,,Tourist attraction,"sd khkhy srwn, X7VQ+2GG, Sarbanlar, Hamadan Province, Iran",Hamedan
6194,chshmh khwrh,Tourist attraction,,,Tourist attraction,"chshmh khwrh, RC69+VJ, Solulan, Hamadan Province, Iran",Hamedan
6195,stkhr pshtyr,Tourist attraction,,,Tourist attraction,"stkhr pshtyr, RCGJ+C7J, Solulan, Hamadan Province, Iran",Hamedan
